pic_name,mean,粉尘能量,粉尘对比度,粉尘熵值,idm,Auto_correlation,std,,mean_s,asm_s,con_s,eng_s,idm_s,Auto_correlation_s,std_s,,mix_d,mix_s,mean_s,烟雾能量,烟雾对比度,烟雾熵值,idm_s,Auto_correlation_s,std_s,,粉尘Tglcm,烟雾Tglcm
42,0.050555229,0.201972812,0.688476563,2.012192249,0.959179688,170.80896,23.96745475,,0.053531647,0.241368689,0.065917969,1.634271434,0.961242676,190.1079712,27.71156793,,869.4985062,205.2082433,0.03512764,0.086361371,0.340026855,3.024178809,0.918890429,88.78277588,11.45141008,,66.45734123,134.3136736
43,0.053747177,0.278649785,0.173034668,1.776503597,0.945718563,191.7338257,30.01098744,,0.048098087,0.172354795,0.129455566,2.205764794,0.937164307,154.9359741,21.32667342,,322.8200492,332.7965663,0.045944929,0.084680595,0.556396484,3.088726551,0.856091005,146.3206177,15.49505948,,46.50020624,139.0984076
44,0.047731161,0.117377572,0.183166504,2.552944976,0.927734375,154.9151001,17.8605198,,0.045639992,0.127079032,0.181884766,2.469072645,0.921447754,140.2103882,17.05887962,,426.7232443,416.0841269,0.044167519,0.101249099,0.230651855,2.797532847,0.931561279,135.1689453,15.51337645,,99.79154134,115.060494
45,0.053850651,0.402532838,0.052124023,1.166863131,0.97366333,191.7219849,35.2418333,,0.054456949,0.45600187,0.049133301,1.097814252,0.975769043,196.0591431,37.8972504,,128.5570527,113.3145389,0.039029598,0.118620373,0.803588867,3.193908386,0.861443268,123.7061157,19.46920625,,31.19824957,108.307981
46,0.05423975,0.261412539,0.106872559,1.671840144,0.953125,195.1309814,29.27148324,,0.049712658,0.140946902,0.191040039,2.351461913,0.919451904,165.3657227,19.91904545,,247.9153191,412.0915401,0.040519238,0.070496082,1.527954102,3.301467562,0.890824292,121.9373169,12.79022001,,47.68163844,173.6387332
47,0.047018051,0.244809829,0.051818848,1.652970477,0.977661133,146.8243408,23.92602124,,0.051373482,0.218489029,0.128051758,2.011509895,0.94821167,176.2212524,25.5732439,,192.6349125,307.3538444,0.033821106,0.083736554,0.90045166,3.306457798,0.838646866,95.05657959,14.30073409,,49.63107402,144.9589641
48,0.043380499,0.215687022,0.067321777,1.864447776,0.970550537,125.5661621,21.19374127,,0.04988265,0.201424025,0.104736328,2.045786143,0.958892822,166.585022,23.67882349,,232.1978528,289.1725399,0.033132076,0.080353267,1.074523926,3.233252897,0.865374005,86.7487793,10.79275745,,56.35893242,151.36195
49,0.047425508,0.165230885,0.101379395,2.128675576,0.965332031,151.7786255,20.03724927,,0.056777954,0.509957798,0.026367188,0.771585016,0.97946167,213.0797119,42.20833413,,297.7238636,52.52990936,0.050586462,0.350081928,1.003417969,1.943959246,0.916051385,181.4451904,35.03049574,,72.17854464,48.31871805
50,0.048814774,0.394682147,0.056518555,1.352087147,0.974761963,158.0453491,30.57335823,,0.051913977,0.208264001,0.28527832,2.239757318,0.920697767,182.5116577,26.485754,,152.2590548,488.427652,0.044050694,0.176219203,0.813354492,2.541288052,0.91202244,148.7808838,23.09297808,,32.66246534,77.58748973
,,,,,,,,,,,,,,,,,,,0.044605732,0.193791337,1.14263916,2.221979695,0.9472229,133.4154053,20.97275336,,,
